pattern_label,model,MAPE,RMSE,MAE,sMAPE,Bias,MASE
intermittent,Croston,48.864,0.522,0.519,134.179,0.011,1.22
intermittent,ExpSmoothing,,,,,,
intermittent,MLR,,,,,,
intermittent,Prophet,,,,,,
intermittent,RandomForest,,,,,,
intermittent,SARIMA,80.633,1.237,1.069,159.164,-0.274,2.214
intermittent,XGBoost,,,,,,
regular,Croston,,,,,,
regular,ExpSmoothing,,,,,,
regular,MLR,,,,,,
regular,Prophet,,,,,,
regular,RandomForest,,,,,,
regular,SARIMA,38.848,0.482,0.454,48.427,0.005,0.349
regular,XGBoost,,,,,,
seasonal,Croston,,,,,,
seasonal,ExpSmoothing,,,,,,
seasonal,MLR,,,,,,
seasonal,Prophet,148.904,3.902,3.344,101.285,-0.861,2.549
seasonal,RandomForest,,,,,,
seasonal,SARIMA,86.126,2.439,2.129,118.171,-0.748,1.526
seasonal,XGBoost,,,,,,
