pattern_label,model,MAPE,RMSE,MAE,sMAPE,Bias,MASE
intermittent,Croston,48.86423498392105,0.5217936068555068,0.5189360628525417,134.17892462802854,0.01135765016078949,1.2195588094972032
intermittent,ExpSmoothing,,,,,,
intermittent,MLR,,,,,,
intermittent,Prophet,,,,,,
intermittent,RandomForest,,,,,,
intermittent,SARIMA,80.6325149914859,1.2370739063131804,1.0686931169660117,159.1643657412422,-0.27353054472147786,2.214121082917603
intermittent,XGBoost,,,,,,
regular,Croston,,,,,,
regular,ExpSmoothing,,,,,,
regular,MLR,,,,,,
regular,Prophet,,,,,,
regular,RandomForest,,,,,,
regular,SARIMA,38.848141391708445,0.4818552619849777,0.4542294183486871,48.42690357379184,0.00480580386279376,0.3494072448836054
regular,XGBoost,,,,,,
seasonal,Croston,,,,,,
seasonal,ExpSmoothing,,,,,,
seasonal,MLR,,,,,,
seasonal,Prophet,148.904450556993,3.9021982237961623,3.3442463771384574,101.28515538290385,-0.8612411465072184,2.549224082330888
seasonal,RandomForest,,,,,,
seasonal,SARIMA,86.1263123678739,2.439393509636409,2.1287059038218876,118.17108903897004,-0.7476725463629897,1.5257057585838458
seasonal,XGBoost,,,,,,
